SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynastic,Style,Material,Description,SculptorArtist,Paintings,PublishedBy,Protected_by,PDFLink,ImageURL,iconUrl
11,Baramappa temple,Tavadi,Nippani,Belagavi,Outside the Village with in the Village Boundary,16.356135,74.408381,NA,NA,East,NA,12th Century ,AD,NA,Later Chalukyan,Black Stone,This temple complex has five small shrines in a row the Bharamappa temple is the earliest. It consists of a garbhagraha an antarala and a sabhamandapa. In the garbhagraha is a Parsvanatha image in samabhanga. An inscription on its Pedestal dated 1400 A. D. States that the image was carved by Jinnoja and installed by one Lakshmisena Bhattaraka and the basti was constructed by Laliyadevi the grandmother of Senararasa. There are four freestanding pillars in the sabhamandapa. Over the garbhagraha is a renovated Kadambanagara or phamsana Sikhara.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Baramappa temple Sl No. 11.pdf,images/Belagavi/Baramappa temple Sl No. 11.jpg,images/temple_.png
12,Kalleshwara Temple,Kabbur,Chikkodi,Belagavi,Inside the Village,16.346868, 74.728455,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Kalleshwara Temple Sl No. 12.pdf,images/Belagavi/Kalleshwara Temple Sl No. 12.jpg,images/temple_.png
13,Fort,Nippani,Nippani,Belagavi,Inside the Town,16.399655,74.382189,NA,NA,East,NA,1800,AD,NA,Peshwa,Deccan Trap  ,This ruined fort occupies an area of 16-acra land. Around the fort is a moat. Inside the fort is a ruined palace. Ambabai temple and a well. This fort was built by Siddojirao alias Appa Desai Nimbalkar Nippanikar.,NA,NA,Doddamani. Madan S. 1986 Chikkodi Talikina Darshana (In Kannada) Ibh Prakashan Bangalore,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Fort Sl No. 13.pdf,images/Belagavi/Fort Sl No. 13.jpg,images/Fort.png
14,Shankarlinga,Sankeshwara,Hukkeri,Belagavi,Adjacent to the Village,16.251237,74.478703,NA,NA,East,NA,12th Century ,AD,NA,Later Chalukyan,Red and stone,This temple comprises a garbhagraha an antarala a sabhmandapa and a mukhamandapa. In the garbhagraha is a Sivalinga. There are four free standing pillars in the sabhamandapa. The central bay of the ceiling of the sabhamandapa and also mukhamandapa has circular Bhuvanesvari i.e. Nabhichanda type.  It is decorated with Asta-Dikpalas. The navaranga has three entrances with a Kakshasana. The devakosthas of the sabhamandapa have fine sculptures of Bhairava and Vishnu. Facing the sabhamandapa is a spacious mukhamandapa with freestanding pillars. Around the temple inside the Prakasa are small shrines of the deities of  Hanumantha and Dattatreya.  ,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Shankarlinga Sl No. 14.pdf,images/Belagavi/Shankarlinga Sl No. 14.jpg,images/temple_.png
15,Well,Arabhavi,Mudalgi,Belagavi,Adjacent to the Village,16.226445,74.810121,NA,NA,NA,NA,17-18th Century ,AD,NA,Post Vijayanagara,Black Stone,In front of the Durudundeshwara matha is an old well on the eastern side of the wall a flight of steps leads into water. The interior walls of the well are decorated with richly carved sculptures. The well is built in the later Vijayanagara style.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Well Sl No. 15.pdf,images/Belagavi/Well Sl No. 15.jpg,images/Well.png
16,Adavi Sidheshwara Matta,Anakalgi,Gokak,Belagavi,Adjacent to the Village,16.0197008,74.689496,NA,NA,NA,NA,18-19th Century ,AD,NA,Post Vijayanagara,Black Stone,The Matha has a fine lecture hall and well-designed balconies with walls adorned with modern paintings and have fine woodwork. In the garbhagraha is a gadduge of Sri Adviswami ad behind it is that of Siddeshwara Swami. The Matha has shrines of Veerabhadra Akkamahadevi and Ishwara.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Adavi Sidheshwara Matta Sl No. 16.pdf,images/Belagavi/Adavi Sidheshwara Matta Sl No. 16.jpg,images/temple_.png
17,Lakshmi Temple,Anakalgi,Gokak,Belagavi,Inside the Village,16.02414833,74.695064,NA,NA,East,NA,18 th Century ,AD,NA,Post Vijayanagara,Black Stone,This modern temple faces east. It consists of a garbhagraha and a mandapa. In the garbhagraha is a icon of Lakshmi of later date. The exterior wall of the garbhagraha has an inscription. It refers to the renovation of this temple. In front of the temple is a Bhairava sculpture.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Lakshmi Temple Sl No. 17.pdf,images/Belagavi/Lakshmi Temple Sl No. 17.jpg,images/temple_.png
18,Basavanna temple,Gokak,Gokak,Belagavi,Inside the Town,16.171455,74.823826,NA,NA,East,NA,11-12th Century,AD,NA,Later Chalukyan,Black Stone,This east facing temple comprises a garbhagraha an antarala and an open mukhamandapa. In the centre of the garbhagraha is a Sivalinga. The garbhagraha has a trishakha door frame. The lalata bimba contains a tiny Gajalakshmi motif. Inside the open mukhamandapa are four free standing pillars? The ceiling is decorated with a Padma motif. In the centre of the antarala is a seated Nandi. There is a kakshana around the Mukhamandapa. The temple has a kapota bandha adhisthana. Over the garbhagraha is a Kadambanagara sikhara. The frontal mukhapatti is damaged. On stylistic ground the temple may belong to 11th – 12th century A. D.,NA,NA,a) Govt. Of Karnatala; 1987 Belgaum District Gazetteer Govt. Press Baganlore. b) Taboji C. B. 2000 Gokak Talukina Devaliyagalu Mattu Sasangalu (In Kannada) M. Phil. Dissertation Karanataka University Dharwad.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Basavanna temple Sl No. 18.pdf,images/Belagavi/Basavanna temple Sl No. 18.jpg,images/temple_.png
19,Mahalingeshwara temple,Gokak,Gokak,Belagavi,Inside the Town,16.174265,74.822845,NA,NA,North,NA,1156,AD,NA,Later Chalukyan,Black Stone,The temple faces north. It consists of a garbhagraha an antarala open sabhamandapa and a mukhamandapa. In the garbhagraha is a Sivalinga. The antarala has the lateral set of Kunjaraksa screens. Inside the sabhamandapa are Citrakhanda pillars. In the centre of the sabhamandapa is a seated Nandi. In the mukhamandapa is a kaksasana. The garbhagraha has a Kapotabandha adhisthana. The outer wall of the temple is tri-ratha in plan. The superstructure of the temple is of tri-taladravida vimana. The sabhamandapa has an inscription dated Saka 1093. It refers to the land grant by a Mahamandalesvara Kattammadeva of Ratta family for renovation and daily worship of the temple.  ,NA,NA,a) Govt. Of Karnatala; 1987 Belgaum District Gazetteer Govt. Press Baganlore. b) Taboji C. B. 2000 Gokak Talukina Devaliyagalu Mattu Sasangalu (In Kannada) M. Phil. Dissertation Karanataka University Dharwad.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Mahalingeshwara temple Sl No. 19.pdf,images/Belagavi/Mahalingeshwara temple Sl No. 19.jpg,images/temple_.png
20,Bhuthnatha temple,Torgal,Ramdurga,Belagavi,Adjacent to the Village,15.942126,75.222244,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Bhuthnatha temple Sl No. 20.pdf,images/Belagavi/Bhuthnatha temple Sl No. 20.jpg,images/temple_.png
21,Kalikadevi Temple,Sirasangi,Saudatthi,Belagavi,Outside the Village with in the Village Boundary,15.876645,75.257029,NA,NA,East,NA,1185,AD,NA,Later Chalukyan,Black Stone,The temple consists of a garbhagraha an antarala and a sabhamandapa. In front of the sabhamandapa connecting a big common mukhamangapa which is in between two more garbhagrahas one to the right having an image of Bhairava and other to the having an image of Kalikadevi. These portions were added. The kalika garbhagraha has a sikhara. The mukhamandapa has a sloping roof. There is a kaksasana around the mukhamandapa. In the Kalika temple is an inscription slab dated 1185 A. D. of Someshwara IV. It is mentioned that one Habbeya Nayaka constructed the temple of Habbeshwara and prasanna Bhairava at Rishyashringa.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Kalikadevi Temple Sl No. 21.pdf,images/Belagavi/Kalikadevi Temple Sl No. 21.jpg,images/temple_.png
22,Savadatti Yellamma Temple,Saudatthi,Saudatthi,Belagavi,Outside the Town With in the boundary,15.754501,75.154165,NA,NA,East,NA,1185,AD,NA,Later Chalukyan,Black Stone,The temple consists of a garbhagraha an antarala and a sabhamandapa. In front of the sabhamandapa connecting a big common mukhamangapa which is in between two more garbhagrahas one to the right having an image of Bhairava and other to the having an image of Kalikadevi. These portions were added. The kalika garbhagraha has a sikhara. The mukhamandapa has a sloping roof. There is a kaksasana around the mukhamandapa. In the Kalika temple is an inscription slab dated 1185 A. D. of Someshwara IV. It is mentioned that one Habbeya Nayaka constructed the temple of Habbeshwara and prasanna Bhairava at Rishyashringa.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Savadatti Yellamma Temple Sl No. 22.pdf,images/Belagavi/Savadatti Yellamma Temple Sl No. 22.jpg,images/temple_.png
23,Someshwara temple,Sogal hills,Saudatthi,Belagavi,Adjacent to the Village,15.861325,74.973333,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Someshwara temple Sl No. 23.pdf,images/Belagavi/Someshwara temple Sl No. 23.jpg,images/temple_.png
24,Eshwara temple,Degulahalli,Kittur,Belagavi,Adjacent to the Village,15.579118,74.738016,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Eshwara temple Sl No. 24.pdf,images/Belagavi/Eshwara temple Sl No. 24.jpg,images/temple_.png
25,Fort,Kittur,Kittur,Belagavi,Adjacent to the Town,15.601289,74.791451,NA,NA,NA,NA,18 th Century ,AD,NA,Post Vijayanagar,Black Stone,The palace complex consists of a spacious square courtyard surrounded by a wall a large hall an open verandah rooms a well a garden springs and a tank surrounded by bathrooms. Inside the larger hall are two rooms on either side. In the open verandah are six rooms. Each room has a door. Adjoining the open verandah is another spacious square hall. There are four rooms attached to this hall. At the back of this hall is a courtyard and a well at the centre and kitchen room granary etc. To the north of the palace is a tank surrounded by a plat form. Around the platform is pauli wall and bathrooms.  The fort is built on a large plane land. It has gateways on the east and west. The exterior fort wall which is between the two gateways has semicircular bastions. Around this wall is a deep moat. A tank called Anehonda is outside the east gateway. A zig-gag road leads to the Easter of gateway.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Fort Sl No. 25.pdf,images/Belagavi/Fort Sl No. 25.jpg,images/Fort.png
26,Mahulidavi Temple,Kankumbi,Khanapur,Belagavi,Adjacent to the Village,15.70566,74.219385,NA,NA,East,NA,18 th Century ,AD,NA,Post Vijayanagar,Black Stone,The temple consists of a garbhagraha sabhamandapa and a mukhamandapa. The temple structure except for the garbhagraha is built recently. The structure has a first floor over the ground floor. The roof is prepared of tiles. The deity in the garbhagraha is goddess Mavali. Made of panchaloha. The walls of the recently built portions of the temple are constructed by using cement and bricks. The temple may be assigned to C. 17th – 18th centuries A. D.  ,NA,NA,Kelavadi S. P. 1995 Archaeological Remains In Northern Part Of Khanapur Taluk M. A. Dissertation Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Mahulidavi Temple Sl No. 26.pdf,images/Belagavi/Mahulidavi Temple Sl No. 26.jpg,images/temple_.png
27,Ramalingadeva Temple,Asoga,Khanapur,Belagavi,Adjacent to the Village,15.627646,74.479248,NA,NA,East,NA,12th Century ,AD,NA,Later Chalukyan,Black Stone,This renovated temple comprises a garbhagraha and a mukhamandapa. In the garbhagraha is a Sivalinga. The other details are uninteresting.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Ramalingadeva Temple Sl No. 27.pdf,images/Belagavi/Ramalingadeva Temple Sl No. 27.jpg,images/temple_.png
28,Rameshwara Temple ,Chorlu,Khanapur,Belagavi,Adjacent to the Village,15.660538,74.140104,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Rameshwara Temple Sl No. 28.pdf,images/Belagavi/Rameshwara Temple Sl No. 28.jpg,images/temple_.png
29,Sangolli Rayanna Tomb,Nandagad,Khanapur,Belagavi,Adjacent to the Village,15.578848,74.573552,NA,NA,East,NA,1830,AD,NA,NA,NA,In 1830 Sangolli Rayanna was condemned to be hanged at Nandgad. As he passed along the road to the gallows he pointed out a spot for his burial stating that a great tree would spring from his mortal remains. He was buried in that same spot and a huge Banyan tree very close to the road is shown as the one which great from Rayannas grave. The tomb has a memorial pillar with a memorial plaque.  ,NA,NA,GOVT. OF KARNATAKA 1987 BELGAUM DISTRICT GAZETTEER GOVT. PRESS BANGALORE.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Sangolli Rayanna Tomb Sl No. 29.pdf,images/Belagavi/Sangolli Rayanna Tomb Sl No. 29.jpg,images/tomb.png
